year,hydro,nuclear,biofuels,biomass,other,coal,gas,oil,geoth.,wind,PV,CSP
1950,0.021839387832401323,2.6277451078809578e-05,1.3623782822560987e-05,0.14532459611599874,5.985185085205585e-05,0.48540281265738,0.07797055407038983,0.2693628962390768,0.0,0.0,0.0,0.0
1951,0.021906505690034207,3.243180501771232e-05,1.4915378999373963e-05,0.142636785405005,6.335987972758585e-05,0.4785155954715122,0.081538475419049,0.27529193095065513,0.0,0.0,0.0,0.0
1952,0.021959110562336407,4.0033664280900294e-05,1.6318707727405104e-05,0.1398241665112411,6.70749761265524e-05,0.4715155195606519,0.08525205985529806,0.2813257161623377,0.0,0.0,0.0,0.0
1953,0.021995227064607076,4.932585488107574e-05,1.784767573559534e-05,0.13692733059016313,7.093886305034098e-05,0.4643520540641492,0.08910632846952792,0.2874809474178856,0.0,0.0,0.0,0.0
1954,0.022013038159082104,6.077779872079928e-05,1.947495873245385e-05,0.13397392433341435,7.496773147753146e-05,0.45698196998908863,0.09309377782670247,0.2937820692027817,0.0,0.0,0.0,0.0
1955,0.022010713351677768,7.478749191540606e-05,2.124368087415765e-05,0.13098029608614908,7.91683491824173e-05,0.44936838121135153,0.0972036431765332,0.3002617666523165,0.0,0.0,0.0,0.0
1956,0.021986615818475826,9.197913271384482e-05,2.3186614884338827e-05,0.12795298221569956,8.350517561942458e-05,0.44148001997718705,0.10142098919103402,0.30696072187438594,0.0,0.0,0.0,0.0
1957,0.02193909653130843,0.00011294669747310225,2.5230731683544076e-05,0.12489049094974614,8.797179069889703e-05,0.4332910646626878,0.10572616731946789,0.31392703131693417,0.0,0.0,0.0,0.0
1958,0.02186664369201016,0.00013857048956194672,2.7432425684380087e-05,0.1217858558107006,9.25844366847828e-05,0.4247809776457266,0.11009358039294319,0.32121435510668844,0.0,0.0,0.0,0.0
1959,0.021767866050981816,0.0001697787451239846,2.9804235650321838e-05,0.11862964106185174,9.731756316470509e-05,0.4159349721934972,0.11449121461599718,0.3288794055337331,0.0,0.0,0.0,0.0
1960,0.021641631774601277,0.00020774606507842607,3.235022843818829e-05,0.1154149341795877,0.000102167445733051,0.4067446507555176,0.11887979183564673,0.33697672771539694,0.0,0.0,0.0,0.0
1961,0.02148704824014477,0.0002538677092167258,3.504014389819094e-05,0.11214211386361425,0.00010712043990793989,0.3972098178749854,0.12321282599400542,0.34555216573422726,0.0,0.0,0.0,0.0
1962,0.02130381701801166,0.0003097988948525077,3.791849073739908e-05,0.10882225878900073,0.00011213003121608636,0.3873421576154577,0.1274374440143516,0.35463447514637214,0.0,0.0,0.0,0.0
1963,0.02109259560702508,0.0003775398887317725,4.096658037678094e-05,0.10547809895453335,0.00011724751246986716,0.37717085134085476,0.131496829232573,0.36422587088343533,0.0,0.0,0.0,0.0
1964,0.020855507893458965,0.00045943983212574186,4.4209555403290954e-05,0.1021406142838573,0.00012239645982177333,0.36675058758330475,0.1353348094935237,0.3742924348985046,0.0,0.0,0.0,0.0
1965,0.020095617387252903,0.0005587469174357847,4.766736826325784e-05,0.09889032152304057,0.000127715447630885,0.3563531227385084,0.138973722214568,0.3849530864033002,0.0,0.0,0.0,0.0
1966,0.020502235336458174,0.0007140586038808895,5.161519217399079e-05,0.09622354934215128,0.0001338548447086559,0.3435993445244316,0.14408762922536061,0.39468771293083477,0.0,0.0,0.0,0.0
1967,0.020264841007482066,0.0008463949623290386,5.6617461534860484e-05,0.09485904828332709,0.0001420649194178546,0.32654916872675166,0.1491009221288366,0.4081809425103208,0.0,0.0,0.0,0.0
1968,0.02019070645231177,0.0009814947887662902,6.105446676781021e-05,0.09191895520871941,0.00014821261954541648,0.3144093849828881,0.15351296157409944,0.41877722990690175,0.0,0.0,0.0,0.0
1969,0.02013886614019284,0.001125829858252972,6.528340942955e-05,0.08834774245940354,0.00015336675855836396,0.30264724135684823,0.15909661803103411,0.42842505198628045,0.0,0.0,0.0,0.0
1970,0.01986711766421672,0.0013094466031373742,7.012684949616372e-05,0.08526918549349317,0.00015940691482912078,0.29078136246798814,0.16361825144653347,0.43890430667255353,2.0795887752062075e-05,0.0,0.0,0.0
1971,0.01998640528662018,0.0017970500514520205,7.686796131770183e-05,0.08396416181640559,0.0001690801011382357,0.27876698887752954,0.16848963623299468,0.44671515045784066,3.46592147012852e-05,0.0,0.0,0.0
1972,0.019953833808726368,0.002351256670539181,8.330647515322803e-05,0.08171788427430496,0.00017729126907141884,0.2695580228274395,0.16879592602653132,0.45733005397227605,3.242467595784325e-05,0.0,0.0,0.0
1973,0.019092867320003492,0.0029934979801302165,8.970106878727422e-05,0.07899169793041713,0.00018472125876766633,0.262541346378616,0.16814672937654448,0.4679246427689289,3.479591780497954e-05,0.0,0.0,0.0
1974,0.02093157245499203,0.003889885173003856,0.00010186046605062748,0.08050205747506338,0.00020299715558784418,0.2620501108589283,0.17138044092347027,0.4608965706228034,4.45048701001364e-05,0.0,0.0,0.0
1975,0.02110740894377332,0.005359209969430851,0.00011523316380447188,0.0816856479006699,0.00022221437395891712,0.26666067603269783,0.1701007860669837,0.4546955756481229,5.324790055810419e-05,0.0,0.0,0.0
1976,0.020136784740526183,0.006069765262512352,0.0001246505041461629,0.07921295839750209,0.00023257823279226755,0.26381964074856357,0.1710141471179312,0.4593363934892045,5.3081506821792964e-05,0.0,0.0,0.0
1977,0.01999348906155709,0.0072481598937697254,0.00013684584353625576,0.07793376203666465,0.00024708051710294884,0.2633301691849122,0.17065419798447862,0.46040814902244354,4.81464555349616e-05,0.0,0.0,0.0
